Timestamp,Username,How would you describe your familiarity with phishing / web security?,stim_01 — Visual Believability,stim_01 — Copy Quality,stim_01 — Would Fool a User,stim_01 — Source,stim_01 — Confidence,stim_02 — Visual Believability,stim_02 — Copy Quality,stim_02 — Would Fool a User,stim_02 — Source,stim_02 — Confidence,stim_03 — Visual Believability,stim_03 — Copy Quality,stim_03 — Would Fool a User,stim_03 — Source,stim_03 — Confidence,stim_04 — Visual Believability,stim_04 — Copy Quality,stim_04 — Would Fool a User,stim_04 — Source,stim_04 — Confidence,stim_05 — Visual Believability,stim_05 — Copy Quality,stim_05 — Would Fool a User,stim_05 — Source,stim_05 — Confidence,stim_06 — Visual Believability,stim_06 — Copy Quality,stim_06 — Would Fool a User,stim_06 — Source,stim_06 — Confidence,stim_07 — Visual Believability,stim_07 — Copy Quality,stim_07 — Would Fool a User,stim_07 — Source,stim_07 — Confidence,stim_08 — Visual Believability,stim_08 — Copy Quality,stim_08 — Would Fool a User,stim_08 — Source,stim_08 — Confidence,stim_09 — Visual Believability,stim_09 — Copy Quality,stim_09 — Would Fool a User,stim_09 — Source,stim_09 — Confidence,stim_10 — Visual Believability,stim_10 — Copy Quality,stim_10 — Would Fool a User,stim_10 — Source,stim_10 — Confidence,stim_11 — Visual Believability,stim_11 — Copy Quality,stim_11 — Would Fool a User,stim_11 — Source,stim_11 — Confidence,stim_12 — Visual Believability,stim_12 — Copy Quality,stim_12 — Would Fool a User,stim_12 — Source,stim_12 — Confidence,stim_13 — Visual Believability,stim_13 — Copy Quality,stim_13 — Would Fool a User,stim_13 — Source,stim_13 — Confidence,stim_14 — Visual Believability,stim_14 — Copy Quality,stim_14 — Would Fool a User,stim_14 — Source,stim_14 — Confidence,stim_15 — Visual Believability,stim_15 — Copy Quality,stim_15 — Would Fool a User,stim_15 — Source,stim_15 — Confidence,stim_16 — Visual Believability,stim_16 — Copy Quality,stim_16 — Would Fool a User,stim_16 — Source,stim_16 — Confidence,stim_17 — Visual Believability,stim_17 — Copy Quality,stim_17 — Would Fool a User,stim_17 — Source,stim_17 — Confidence,stim_18 — Visual Believability,stim_18 — Copy Quality,stim_18 — Would Fool a User,stim_18 — Source,stim_18 — Confidence,stim_19 — Visual Believability,stim_19 — Copy Quality,stim_19 — Would Fool a User,stim_19 — Source,stim_19 — Confidence,stim_20 — Visual Believability,stim_20 — Copy Quality,stim_20 — Would Fool a User,stim_20 — Source,stim_20 — Confidence,stim_21 — Visual Believability,stim_21 — Copy Quality,stim_21 — Would Fool a User,stim_21 — Source,stim_21 — Confidence,stim_22 — Visual Believability,stim_22 — Copy Quality,stim_22 — Would Fool a User,stim_22 — Source,stim_22 — Confidence,stim_23 — Visual Believability,stim_23 — Copy Quality,stim_23 — Would Fool a User,stim_23 — Source,stim_23 — Confidence,stim_24 — Visual Believability,stim_24 — Copy Quality,stim_24 — Would Fool a User,stim_24 — Source,stim_24 — Confidence,stim_25 — Visual Believability,stim_25 — Copy Quality,stim_25 — Would Fool a User,stim_25 — Source,stim_25 — Confidence,stim_26 — Visual Believability,stim_26 — Copy Quality,stim_26 — Would Fool a User,stim_26 — Source,stim_26 — Confidence,stim_27 — Visual Believability,stim_27 — Copy Quality,stim_27 — Would Fool a User,stim_27 — Source,stim_27 — Confidence,stim_28 — Visual Believability,stim_28 — Copy Quality,stim_28 — Would Fool a User,stim_28 — Source,stim_28 — Confidence,stim_29 — Visual Believability,stim_29 — Copy Quality,stim_29 — Would Fool a User,stim_29 — Source,stim_29 — Confidence,stim_30 — Visual Believability,stim_30 — Copy Quality,stim_30 — Would Fool a User,stim_30 — Source,stim_30 — Confidence,stim_31 — Visual Believability,stim_31 — Copy Quality,stim_31 — Would Fool a User,stim_31 — Source,stim_31 — Confidence,stim_32 — Visual Believability,stim_32 — Copy Quality,stim_32 — Would Fool a User,stim_32 — Source,stim_32 — Confidence,stim_33 — Visual Believability,stim_33 — Copy Quality,stim_33 — Would Fool a User,stim_33 — Source,stim_33 — Confidence,stim_34 — Visual Believability,stim_34 — Copy Quality,stim_34 — Would Fool a User,stim_34 — Source,stim_34 — Confidence,stim_35 — Visual Believability,stim_35 — Copy Quality,stim_35 — Would Fool a User,stim_35 — Source,stim_35 — Confidence,stim_36 — Visual Believability,stim_36 — Copy Quality,stim_36 — Would Fool a User,stim_36 — Source,stim_36 — Confidence,stim_37 — Visual Believability,stim_37 — Copy Quality,stim_37 — Would Fool a User,stim_37 — Source,stim_37 — Confidence,stim_38 — Visual Believability,stim_38 — Copy Quality,stim_38 — Would Fool a User,stim_38 — Source,stim_38 — Confidence,stim_39 — Visual Believability,stim_39 — Copy Quality,stim_39 — Would Fool a User,stim_39 — Source,stim_39 — Confidence,stim_40 — Visual Believability,stim_40 — Copy Quality,stim_40 — Would Fool a User,stim_40 — Source,stim_40 — Confidence
5/24/2026 15:56:31,Yonro,Low,4,3,4,Real (captured phishing),High,5,5,5,Ours (synthetic),Medium,4,5,5,Ours (synthetic),High,4,5,5,Real (captured phishing),High,5,5,5,Real (captured phishing),High,4,3,4,Ours (synthetic),High,1,1,1,Real (captured phishing),High,5,5,5,Ours (synthetic),High,3,3,4,Real (captured phishing),High,5,1,1,Real (captured phishing),High,3,5,3,Real (captured phishing),High,5,5,5,Ours (synthetic),High,5,5,5,Ours (synthetic),High,5,5,5,Ours (synthetic),High,1,3,1,Real (captured phishing),High,3,5,3,Ours (synthetic),High,5,5,5,Ours (synthetic),High,2,1,1,Real (captured phishing),High,4,5,5,Real (captured phishing),High,1,1,1,Real (captured phishing),High,5,5,5,Ours (synthetic),High,3,3,3,Real (captured phishing),High,1,1,1,Real (captured phishing),High,5,5,5,Ours (synthetic),High,5,5,5,Real (captured phishing),High,4,5,5,Ours (synthetic),High,5,5,5,Ours (synthetic),High,5,5,5,Ours (synthetic),High,5,5,5,Ours (synthetic),High,5,5,5,Ours (synthetic),High,2,1,1,Ours (synthetic),High,5,5,5,Ours (synthetic),High,1,1,1,Real (captured phishing),High,5,5,5,Ours (synthetic),High,5,5,5,Real (captured phishing),High,1,1,1,Real (captured phishing),High,5,5,5,Real (captured phishing),High,5,5,5,Ours (synthetic),High,5,5,5,Real (captured phishing),High,1,1,1,Real (captured phishing),High
5/24/2026 16:04:34,Oreo,Low,4,4,3,Real (captured phishing),Medium,3,2,3,Ours (synthetic),Medium,4,4,4,Real (captured phishing),High,4,3,3,Real (captured phishing),Medium,5,5,4,Real (captured phishing),High,4,4,4,Real (captured phishing),Medium,1,1,1,Ours (synthetic),High,4,4,3,Real (captured phishing),Medium,2,1,2,Ours (synthetic),High,3,3,3,Real (captured phishing),High,5,5,5,Real (captured phishing),High,5,5,4,Real (captured phishing),High,3,3,4,Ours (synthetic),Medium,4,4,4,Real (captured phishing),High,2,2,1,Ours (synthetic),High,3,3,3,Ours (synthetic),Medium,3,3,2,Real (captured phishing),High,2,3,3,Real (captured phishing),Medium,4,4,3,Ours (synthetic),High,1,1,1,Real (captured phishing),High,5,5,4,Real (captured phishing),Medium,3,3,4,Ours (synthetic),Medium,1,1,1,Not sure,High,4,4,4,Real (captured phishing),High,3,3,4,Real (captured phishing),Medium,4,3,4,Real (captured phishing),High,3,3,2,Ours (synthetic),Medium,5,5,5,Not sure,High,5,5,4,Real (captured phishing),High,3,3,4,Ours (synthetic),Low,2,2,2,Ours (synthetic),Medium,3,3,4,Real (captured phishing),Medium,1,1,1,Not sure,High,4,4,5,Real (captured phishing),High,5,5,5,Not sure,Medium,1,1,1,Not sure,High,4,4,3,Ours (synthetic),Medium,3,3,3,Real (captured phishing),Medium,4,4,3,Ours (synthetic),High,1,1,1,Not sure,High
5/24/2026 16:09:24,demonizer_7,Medium,3,3,3,Not sure,Low,5,4,4,Ours (synthetic),Medium,5,5,4,Real (captured phishing),High,1,1,2,Ours (synthetic),Medium,5,5,4,Real (captured phishing),High,4,4,3,Ours (synthetic),Medium,2,3,3,Not sure,Medium,4,4,3,Not sure,Medium,5,5,4,Real (captured phishing),High,3,2,2,Ours (synthetic),High,1,1,3,Real (captured phishing),High,5,5,4,Not sure,Medium,4,5,4,Real (captured phishing),Medium,4,4,4,Ours (synthetic),High,1,4,4,Ours (synthetic),High,1,4,3,Real (captured phishing),High,4,4,4,Real (captured phishing),Medium,5,5,5,Real (captured phishing),High,4,4,3,Not sure,Medium,1,2,2,Not sure,High,4,5,4,Real (captured phishing),Medium,1,1,1,Ours (synthetic),High,1,1,1,Ours (synthetic),High,4,4,4,Real (captured phishing),Medium,4,5,4,Real (captured phishing),High,4,5,4,Real (captured phishing),High,3,2,3,Ours (synthetic),High,5,5,5,Real (captured phishing),High,4,4,4,Not sure,Medium,2,1,3,Ours (synthetic),High,3,3,3,Not sure,Medium,3,3,2,Not sure,Medium,1,1,1,Ours (synthetic),High,5,5,5,Real (captured phishing),High,5,5,4,Real (captured phishing),High,1,1,1,Not sure,High,4,4,3,Ours (synthetic),High,5,5,3,Not sure,High,4,4,4,Ours (synthetic),High,3,2,2,Ours (synthetic),High
5/24/2026 16:49:56,yupcm,Medium,2,3,4,Ours (synthetic),Low,4,4,5,Real (captured phishing),Medium,5,4,5,Ours (synthetic),Medium,1,2,1,Ours (synthetic),High,4,5,4,Not sure,High,3,2,4,Ours (synthetic),Low,2,2,1,Ours (synthetic),High,4,4,4,Real (captured phishing),High,1,1,2,Ours (synthetic),High,2,1,1,Ours (synthetic),High,3,2,3,Ours (synthetic),Medium,4,4,3,Real (captured phishing),Low,3,3,3,Ours (synthetic),Medium,4,4,4,Not sure,Low,1,1,1,Ours (synthetic),High,2,2,2,Ours (synthetic),High,3,2,3,Real (captured phishing),High,3,4,3,Ours (synthetic),High,1,1,1,Ours (synthetic),High,2,2,2,Real (captured phishing),Medium,4,3,4,Real (captured phishing),Medium,1,1,1,Ours (synthetic),High,1,1,1,Ours (synthetic),Medium,3,2,3,Real (captured phishing),Medium,2,3,2,Real (captured phishing),High,3,3,3,Real (captured phishing),Medium,1,1,2,Ours (synthetic),High,5,5,5,Real (captured phishing),High,4,4,4,Real (captured phishing),Medium,2,3,3,Ours (synthetic),Medium,1,1,1,Ours (synthetic),High,3,2,2,Real (captured phishing),High,1,1,1,Ours (synthetic),High,3,2,2,Real (captured phishing),Medium,4,3,4,Real (captured phishing),High,2,1,1,Ours (synthetic),Medium,2,1,1,Ours (synthetic),High,2,3,3,Real (captured phishing),High,3,3,3,Real (captured phishing),High,1,2,2,Ours (synthetic),Medium
5/24/2026 16:58:18,Kt,Medium,2,3,3,Real (captured phishing),Medium,2,3,3,Real (captured phishing),Medium,1,2,3,Ours (synthetic),Medium,2,3,2,Real (captured phishing),Medium,3,3,2,Real (captured phishing),Medium,3,2,4,Real (captured phishing),Medium,1,2,3,Ours (synthetic),High,2,2,2,Not sure,Medium,1,1,1,Ours (synthetic),High,1,1,1,Ours (synthetic),High,1,1,1,Real (captured phishing),Medium,3,2,3,Not sure,Medium,2,2,3,Real (captured phishing),Medium,3,2,4,Real (captured phishing),Medium,3,3,3,Not sure,Medium,2,2,4,Not sure,Medium,2,3,3,Real (captured phishing),Medium,2,3,4,Real (captured phishing),Medium,3,4,4,Real (captured phishing),Medium,3,3,2,Not sure,Medium,2,2,3,Real (captured phishing),Medium,2,3,4,Real (captured phishing),Medium,3,2,2,Real (captured phishing),Medium,4,4,5,Not sure,Low,4,4,4,Real (captured phishing),Low,2,4,3,Real (captured phishing),Medium,2,2,3,Real (captured phishing),Medium,2,4,5,Real (captured phishing),Medium,2,3,3,Real (captured phishing),Medium,3,4,4,Real (captured phishing),Medium,3,2,2,Real (captured phishing),High,1,5,4,Real (captured phishing),Medium,2,3,3,Real (captured phishing),Medium,2,3,3,Real (captured phishing),Medium,2,2,4,Real (captured phishing),Medium,2,3,4,Real (captured phishing),Medium,3,2,4,Real (captured phishing),Medium,2,3,3,Real (captured phishing),Medium,3,4,4,Real (captured phishing),Medium,1,1,4,Ours (synthetic),High
5/24/2026 18:27:48,Do-lund Trump,Medium,4,5,4,Real (captured phishing),High,2,3,2,Not sure,Medium,5,5,1,Real (captured phishing),High,3,3,3,Ours (synthetic),Medium,5,5,5,Real (captured phishing),High,5,5,5,Real (captured phishing),High,1,1,1,Ours (synthetic),High,3,3,3,Real (captured phishing),High,2,1,2,Real (captured phishing),High,5,5,5,Ours (synthetic),High,1,1,1,Ours (synthetic),High,4,3,3,Ours (synthetic),High,2,2,2,Ours (synthetic),Medium,5,5,5,Real (captured phishing),Medium,1,1,1,Not sure,Medium,1,2,1,Ours (synthetic),High,3,3,3,Ours (synthetic),Low,2,1,2,Ours (synthetic),Medium,2,2,2,Ours (synthetic),Low,2,2,2,Real (captured phishing),Medium,4,4,4,Ours (synthetic),Medium,1,1,1,Real (captured phishing),High,1,1,1,Real (captured phishing),High,2,2,2,Ours (synthetic),High,3,3,3,Ours (synthetic),Medium,3,4,4,Ours (synthetic),Medium,2,2,3,Ours (synthetic),Medium,5,5,5,Real (captured phishing),High,3,3,3,Real (captured phishing),Low,2,2,2,Ours (synthetic),Medium,2,1,2,Real (captured phishing),High,5,4,4,Ours (synthetic),Medium,1,1,1,Ours (synthetic),High,4,4,4,Real (captured phishing),Medium,2,2,2,Ours (synthetic),High,1,2,1,Real (captured phishing),Medium,3,3,3,Ours (synthetic),Medium,4,3,4,Ours (synthetic),High,3,2,3,Real (captured phishing),Medium,2,1,1,Ours (synthetic),High
5/24/2026 20:28:52,brataghostofficial12345,Low,1,1,1,Not sure,Low,1,1,3,Ours (synthetic),Medium,4,3,4,Real (captured phishing),Medium,4,3,2,Ours (synthetic),High,4,4,4,Real (captured phishing),Medium,1,3,4,Not sure,Medium,1,1,1,Ours (synthetic),High,4,4,4,Real (captured phishing),Medium,1,4,5,Real (captured phishing),High,3,3,3,Real (captured phishing),Medium,4,4,4,Real (captured phishing),High,4,3,4,Not sure,Medium,3,3,4,Real (captured phishing),Medium,2,2,1,Real (captured phishing),High,1,1,1,Real (captured phishing),High,4,5,5,Real (captured phishing),High,1,1,3,Not sure,Medium,3,4,3,Not sure,Medium,4,3,4,Not sure,Medium,1,1,1,Ours (synthetic),High,3,3,4,Real (captured phishing),Low,2,2,2,Real (captured phishing),High,1,1,1,Ours (synthetic),High,4,4,4,Real (captured phishing),High,4,3,5,Real (captured phishing),Medium,4,3,4,Real (captured phishing),High,2,4,3,Real (captured phishing),High,3,4,5,Real (captured phishing),Medium,4,3,4,Real (captured phishing),Medium,4,5,5,Real (captured phishing),High,1,1,1,Ours (synthetic),High,3,3,4,Real (captured phishing),High,1,1,1,Ours (synthetic),High,4,4,5,Real (captured phishing),High,4,5,3,Real (captured phishing),Medium,1,1,1,Ours (synthetic),Medium,3,3,4,Real (captured phishing),High,2,4,3,Ours (synthetic),Medium,4,5,5,Real (captured phishing),High,1,1,1,Ours (synthetic),Low
5/24/2026 22:09:36,Generaldyer,High,1,1,4,Real (captured phishing),High,3,3,2,Real (captured phishing),High,5,5,5,Ours (synthetic),High,2,1,4,Not sure,Medium,4,5,3,Ours (synthetic),Medium,4,4,5,Ours (synthetic),Low,2,1,1,Not sure,High,4,4,2,Ours (synthetic),Low,2,2,1,Real (captured phishing),Medium,3,1,3,Ours (synthetic),High,5,5,1,Real (captured phishing),Low,4,4,2,Real (captured phishing),Low,1,2,3,Real (captured phishing),High,5,1,2,Not sure,Low,4,1,5,Not sure,Low,1,4,2,Real (captured phishing),High,1,2,3,Ours (synthetic),Medium,4,4,1,Ours (synthetic),Low,2,2,4,Not sure,High,1,1,1,Real (captured phishing),High,3,3,1,Not sure,Low,1,1,1,Real (captured phishing),High,1,1,1,Real (captured phishing),High,4,2,5,Ours (synthetic),High,5,5,5,Ours (synthetic),High,4,5,3,Not sure,Medium,2,3,3,Not sure,Low,3,3,3,Not sure,Low,2,4,5,Ours (synthetic),Medium,5,5,5,Ours (synthetic),Low,4,2,5,Ours (synthetic),Low,4,1,5,Ours (synthetic),Medium,1,1,1,Real (captured phishing),High,2,4,3,Not sure,Medium,5,5,3,Ours (synthetic),Low,2,4,1,Not sure,High,2,1,4,Real (captured phishing),High,2,4,1,Ours (synthetic),Medium,2,1,2,Real (captured phishing),High,5,5,5,Ours (synthetic),Low
5/24/2026 22:50:51,Fan,High,3,4,5,Ours (synthetic),Medium,3,5,3,Ours (synthetic),Low,2,4,3,Real (captured phishing),Medium,1,2,2,Real (captured phishing),High,5,5,4,Ours (synthetic),Medium,3,3,3,Ours (synthetic),High,2,2,3,Ours (synthetic),Medium,1,2,4,Real (captured phishing),Medium,2,2,3,Real (captured phishing),Medium,1,2,1,Real (captured phishing),Medium,2,4,3,Ours (synthetic),Medium,4,5,4,Ours (synthetic),Medium,4,4,4,Ours (synthetic),Low,2,4,3,Ours (synthetic),Low,1,1,5,Real (captured phishing),High,2,2,2,Real (captured phishing),Low,3,3,4,Ours (synthetic),Medium,1,1,1,Real (captured phishing),High,1,3,1,Real (captured phishing),Low,1,1,1,Ours (synthetic),Low,4,4,5,Real (captured phishing),Medium,2,2,2,Not sure,Low,1,1,1,Ours (synthetic),Medium,2,3,2,Real (captured phishing),Medium,3,5,3,Real (captured phishing),Low,2,2,2,Real (captured phishing),Medium,2,2,2,Ours (synthetic),Medium,5,5,4,Real (captured phishing),Medium,3,3,4,Real (captured phishing),Medium,2,4,4,Ours (synthetic),Medium,1,1,1,Ours (synthetic),Medium,2,2,2,Real (captured phishing),Medium,1,1,1,Ours (synthetic),Medium,3,3,2,Ours (synthetic),Low,2,3,4,Real (captured phishing),Low,1,1,1,Ours (synthetic),Medium,1,2,1,Real (captured phishing),Medium,2,1,2,Real (captured phishing),Medium,2,4,2,Ours (synthetic),Medium,1,1,1,Ours (synthetic),Medium
5/24/2026 22:54:06,Carlos Quinto,Low,2,2,1,Ours (synthetic),High,1,2,2,Ours (synthetic),High,5,5,5,Real (captured phishing),High,5,4,3,Real (captured phishing),High,5,5,5,Ours (synthetic),High,4,3,4,Ours (synthetic),High,3,4,3,Real (captured phishing),High,4,4,3,Not sure,High,4,4,3,Ours (synthetic),High,5,5,5,Real (captured phishing),High,3,3,1,Ours (synthetic),High,4,2,5,Ours (synthetic),High,4,3,4,Real (captured phishing),High,5,5,4,Ours (synthetic),High,5,5,5,Not sure,High,4,4,3,Ours (synthetic),High,4,4,4,Ours (synthetic),High,4,4,4,Not sure,High,4,5,5,Real (captured phishing),High,4,5,4,Real (captured phishing),High,5,5,4,Ours (synthetic),High,5,5,5,Ours (synthetic),High,4,5,4,Ours (synthetic),High,5,5,5,Ours (synthetic),High,5,4,5,Real (captured phishing),High,5,4,5,Real (captured phishing),High,5,5,5,Real (captured phishing),High,5,5,5,Not sure,High,5,5,5,Real (captured phishing),High,3,3,3,Real (captured phishing),High,4,3,3,Ours (synthetic),High,5,5,4,Real (captured phishing),High,4,5,4,Real (captured phishing),High,5,5,5,Ours (synthetic),High,5,5,5,Ours (synthetic),High,5,5,4,Real (captured phishing),High,5,4,5,Real (captured phishing),High,5,4,5,Real (captured phishing),High,4,5,4,Not sure,High,4,5,3,Real (captured phishing),High
