sample_id,what_youre_looking_at
s01,Download page with multiple competing download buttons
s02,IRS-refund-lookup portal
s03,Amazon-style order / refund portal
s04,Google-Careers-style recruiter email + application portal
s05,Scareware / fake-virus warning landing page
s06,GitHub-style credential login
s07,MyChart-style patient login
s08,GitHub-style credential login on a course platform
s09,Chase-style bank login
s10,Amazon-style order / refund portal
s11,In-game-currency offer with credential login
s12,Marketplace checkout collecting raw card details
s13,Virus-scan results page with countdown + payment prompt
s14,Chase / Wells / PayPal-style bank login
s15,IRS-refund-lookup portal
